
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
783,Tyler Naquin\naquity01,30,CIN,454,.354,108,.318,.207,4.2%,23.4%,7.7%,88.9,41.8%,22.1%,46.4%,24.0%,0.90,32.5%,51.9%,15.6%,0.1,-0.1%,14.1
784,Omar Narvaez\narvaom01,29,MIL,445,.326,96,.308,.136,2.5%,18.9%,9.2%,84.6,25.6%,27.5%,34.2%,31.0%,0.52,28.1%,54.0%,17.9%,-0.2,0.2%,0.0
785,Packy Naughton\naughpa01,25,LAA,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
786,Josh Naylor\naylojo01,24,CLE,250,.313,93,.287,.146,2.8%,18.0%,5.6%,89.8,42.6%,23.9%,50.5%,17.0%,1.02,28.3%,53.5%,18.2%,-0.8,-0.6%,-8.8
787,Nick Neidert\neideni01,24,MIA,12,.058,-92,.000,.000,0.0%,41.7%,8.3%,80.7,0.0%,0.0%,66.7%,16.7%,4.00,16.7%,66.7%,16.7%,-0.2,-0.1%,-2.5
788,Jimmy Nelson\nelsoji02,32,LAD,3,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5
789,Hector Neris\nerishe01,32,PHI,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
790,Sheldon Neuse\neusesh01,26,LAD,66,.221,26,.222,.154,4.6%,39.4%,1.5%,88.8,41.0%,20.5%,43.6%,33.3%,0.77,17.9%,66.7%,15.4%,-1.3,-1.0%,-10.5
791,Tyler Nevin\nevinty01,24,BAL,18,.450,191,.375,.357,5.6%,27.8%,22.2%,93.5,33.3%,0.0%,22.2%,66.7%,0.29,55.6%,11.1%,33.3%,0.1,0.0%,2.0
792,Sean Newcomb\newcose01,28,ATL,2,.000,-379,,.000,0.0%,50.0%,0.0%,15.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.5
793,Kevin Newman\newmake01,27,PIT,554,.257,49,.236,.083,0.9%,7.4%,4.9%,83.9,26.0%,25.2%,43.3%,21.4%,0.80,22.7%,60.6%,16.7%,-2.2,-0.5%,-29.4
794,Tomás Nido\nidoto01,27,NYM,161,.269,61,.292,.105,1.9%,27.3%,3.1%,88.7,43.1%,33.9%,42.2%,23.9%,0.73,22.9%,65.1%,11.9%,0.2,0.2%,-4.0
795,Brandon Nimmo\nimmobr01,28,NYM,386,.372,138,.366,.145,2.1%,20.5%,14.0%,88.6,41.5%,27.4%,47.2%,18.5%,0.91,23.8%,54.4%,21.8%,0.5,0.2%,17.7
796,Stephen Nogosek\nogosst01,26,NYM,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.5
797,John Nogowski\nogowjo01,28,TOT,143,.272,65,.271,.078,0.7%,15.4%,8.4%,88.1,28.7%,29.6%,37.0%,29.6%,0.59,28.7%,56.5%,14.8%,-0.1,-0.4%,-3.4
798,John Nogowski\nogowjo01,28,STL,20,.116,-45,.063,.000,0.0%,10.0%,5.0%,87.0,18.8%,18.8%,43.8%,31.3%,0.78,12.5%,68.8%,18.8%,-0.5,-0.4%,-5.4
799,John Nogowski\nogowjo01,28,PIT,123,.297,82,.308,.090,0.8%,16.3%,8.9%,88.3,30.4%,31.5%,35.9%,29.3%,0.56,31.5%,54.3%,14.1%,0.4,0.0%,1.9
800,Aaron Nola\nolaaa01,28,PHI,63,.199,-2,.333,.041,0.0%,46.0%,9.5%,67.1,10.7%,21.4%,39.3%,3.6%,1.57,7.1%,60.7%,32.1%,-0.1,-0.1%,-3.8
801,Austin Nola\nolaau01,31,SDP,194,.320,104,.292,.104,1.0%,9.8%,7.2%,89.7,41.3%,25.6%,41.0%,20.5%,0.70,28.8%,54.5%,16.7%,-0.2,-0.3%,8.1
802,Sean Nolin\nolinse01,31,WSN,6,.000,-172,.000,.000,0.0%,50.0%,0.0%,46.5,0.0%,0.0%,33.3%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-1.6
803,Lars Nootbaar\nootbla01,23,STL,124,.318,98,.273,.183,4.0%,22.6%,10.5%,86.9,36.1%,16.9%,43.4%,27.7%,0.84,32.5%,51.8%,15.7%,0.4,-0.1%,2.1
804,Daniel Norris\norrida01,28,TOT,2,.000,-135,.000,.000,0.0%,0.0%,0.0%,75.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
805,Daniel Norris\norrida01,28,MIL,2,.000,-135,.000,.000,0.0%,0.0%,0.0%,75.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
806,Jacob Nottingham\nottija01,26,TOT,45,.264,59,.167,.250,6.7%,44.4%,4.4%,87.3,33.3%,28.6%,19.0%,42.9%,0.24,28.6%,52.4%,19.0%,-0.3,-0.2%,-4.1
807,Jacob Nottingham\nottija01,26,MIL,14,.376,131,.250,.500,14.3%,57.1%,0.0%,88.5,50.0%,16.7%,33.3%,50.0%,0.50,16.7%,66.7%,16.7%,-0.1,-0.1%,-0.2
808,Jacob Nottingham\nottija01,26,SEA,31,.213,27,.143,.115,3.2%,38.7%,6.5%,86.8,26.7%,33.3%,13.3%,40.0%,0.15,33.3%,46.7%,20.0%,-0.2,-0.1%,-3.9
809,Dom Nunez\nunezdo01,26,COL,263,.297,66,.258,.211,3.8%,34.6%,12.9%,85.6,31.2%,19.6%,31.9%,36.2%,0.47,37.2%,48.9%,13.9%,-0.7,-0.2%,-6.4
810,Renato Nunez\nunezre01,27,DET,55,.284,76,.182,.283,7.3%,29.1%,1.8%,85.0,35.1%,18.9%,48.6%,24.3%,0.95,32.4%,51.4%,16.2%,-0.3,-0.2%,-2.0
811,Brian O'Grady\ogradbr01,29,SDP,61,.267,64,.182,.176,3.3%,27.9%,13.1%,88.2,44.4%,11.1%,36.1%,36.1%,0.59,47.2%,44.4%,8.3%,-0.5,-0.3%,-2.5
812,Ryan O'Hearn\ohearry01,27,KCR,254,.284,70,.277,.144,3.5%,28.0%,5.1%,90.8,45.5%,22.0%,42.9%,30.4%,0.75,30.4%,51.2%,18.5%,-1.8,-0.3%,-15.8
813,Tyler O'Neill\oneilty01,26,STL,537,.399,154,.366,.274,6.3%,31.3%,7.1%,93.0,52.2%,24.8%,36.2%,31.4%,0.57,26.4%,55.3%,18.2%,2.5,1.5%,23.4
814,Bailey Ober\oberba01,25,MIN,2,.446,192,.500,.000,0.0%,0.0%,0.0%,83.7,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,0.0
815,Joseph Odom\odomjo01,29,TBR,2,.000,-118,.000,.000,0.0%,50.0%,0.0%,95.6,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.8
816,Rougned Odor\odorro01,27,NYY,361,.290,79,.242,.177,4.2%,27.7%,7.5%,86.8,38.2%,16.1%,36.8%,30.9%,0.62,44.4%,45.3%,10.3%,-0.8,-0.5%,-8.3
817,Jake Odorizzi\odorija01,31,HOU,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,59.2,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
818,Shohei Ohtani\ohtansh01,26,LAA,639,.399,155,.303,.335,7.2%,29.6%,15.0%,92.9,53.7%,20.9%,38.6%,34.6%,0.64,38.3%,47.7%,14.0%,5.1,1.8%,52.4
819,Steven Okert\okertst01,29,MIA,2,.000,-133,.000,.000,0.0%,50.0%,0.0%,93.9,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.0
820,Jared Oliva\olivaja01,25,PIT,43,.230,22,.233,.050,0.0%,23.3%,7.0%,82.0,20.0%,13.3%,60.0%,20.0%,1.50,30.0%,43.3%,26.7%,-0.1,0.0%,-3.6
821,Edward Olivares\olivaed02,25,KCR,111,.300,85,.244,.168,4.5%,17.1%,4.5%,86.8,31.0%,21.4%,46.4%,25.0%,0.89,33.3%,54.8%,11.9%,-0.3,-0.1%,-6.7
822,Matt Olson\olsonma02,27,OAK,673,.380,148,.269,.269,5.8%,16.8%,13.1%,91.5,48.7%,19.7%,40.2%,30.2%,0.67,31.1%,52.5%,16.4%,2.9,2.3%,24.9
823,Rafael Ortega\ortegra01,30,CHC,330,.367,127,.349,.172,3.3%,21.2%,9.1%,87.2,34.8%,25.0%,33.3%,31.1%,0.52,36.8%,46.9%,16.2%,1.2,-0.1%,12.9
824,Corey Oswalt\oswalco01,27,NYM,2,,,,,0.0%,0.0%,0.0%,21.9,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5
825,Connor Overton\overtco01,27,TOT,1,.899,505,1.000,.000,0.0%,0.0%,0.0%,66.8,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.2,0.0%,1.7
826,Connor Overton\overtco01,27,PIT,1,.899,505,1.000,.000,0.0%,0.0%,0.0%,66.8,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.2,0.0%,1.7
827,Johan Oviedo\oviedjo01,23,STL,22,.186,5,.273,.000,0.0%,40.9%,9.1%,83.7,36.4%,0.0%,90.9%,0.0%,,18.2%,81.8%,0.0%,-0.1,-0.1%,-1.7
828,Hunter Owen\owenhu01,27,PIT,5,.145,-28,.000,.000,0.0%,60.0%,0.0%,71.1,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,-0.1%,-1.1
829,Chris Owings\owingch01,29,COL,50,.448,176,.481,.302,2.0%,30.0%,14.0%,90.7,42.9%,25.0%,39.3%,32.1%,0.65,32.1%,57.1%,10.7%,0.5,0.2%,2.6
830,Marcell Ozuna\ozunama01,30,ATL,208,.286,63,.244,.144,3.4%,22.1%,9.1%,89.7,41.1%,27.5%,35.9%,29.6%,0.56,26.1%,59.2%,14.8%,-1.0,-0.6%,-3.5
831,Cristian Pache\pachecr01,22,ATL,68,.183,-14,.162,.095,1.5%,36.8%,2.9%,76.3,27.5%,12.5%,45.0%,17.5%,1.00,40.0%,52.5%,7.5%,-0.7,-0.5%,-6.2
832,Chris Paddack\paddach01,25,SDP,42,.060,-106,.111,.000,0.0%,61.9%,2.4%,61.8,28.6%,21.4%,28.6%,0.0%,1.33,0.0%,71.4%,28.6%,-0.6,-0.4%,-9.5
833,Kevin Padlo\padloke01,24,TOT,15,.174,4,.250,.077,0.0%,60.0%,13.3%,89.7,25.0%,25.0%,25.0%,50.0%,0.33,25.0%,50.0%,25.0%,-0.3,-0.2%,-2.5
834,Kevin Padlo\padloke01,24,TBR,14,.187,13,.250,.083,0.0%,57.1%,14.3%,89.7,25.0%,25.0%,25.0%,50.0%,0.33,25.0%,50.0%,25.0%,-0.2,-0.1%,-2.1
835,Kevin Padlo\padloke01,24,SEA,1,.000,-123,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.4
836,Emilio Pagan\paganem01,30,SDP,2,.000,-124,.000,.000,0.0%,50.0%,0.0%,57.0,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
837,Josh Palacios\palacjo01,25,TOR,42,.236,35,.280,.000,0.0%,26.2%,7.1%,88.5,42.3%,11.5%,50.0%,30.8%,1.18,19.2%,65.4%,15.4%,-0.5,-0.2%,-2.1
838,Joe Panik\panikjo01,30,TOT,257,.256,48,.230,.076,1.2%,13.2%,6.6%,86.1,25.5%,25.0%,45.1%,19.1%,0.84,22.1%,60.3%,17.6%,-1.7,-0.3%,-14.6
839,Joe Panik\panikjo01,30,TOR,123,.294,77,.263,.105,1.6%,11.4%,6.5%,85.4,24.8%,23.8%,45.5%,20.8%,0.84,26.7%,55.4%,17.8%,-0.4,-0.2%,-2.0
840,Joe Panik\panikjo01,30,MIA,134,.221,19,.198,.049,0.8%,14.9%,6.7%,86.7,26.2%,26.2%,44.7%,17.5%,0.84,17.5%,65.0%,17.5%,-1.4,-0.1%,-12.5
841,Isaac Paredes\paredis01,22,DET,85,.272,67,.226,.111,1.2%,12.9%,11.8%,85.5,25.4%,22.2%,36.5%,28.6%,0.58,38.1%,50.8%,11.1%,0.0,0.0%,-5.0
842,Hoy Park\parkho01,25,TOT,150,.283,70,.250,.141,2.0%,25.3%,12.0%,85.3,25.0%,18.5%,42.4%,31.5%,0.75,32.6%,54.3%,13.0%,-0.6,0.0%,-5.2
843,Hoy Park\parkho01,25,NYY,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,60.0,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.5
844,Hoy Park\parkho01,25,PIT,149,.285,71,.253,.142,2.0%,25.5%,12.1%,85.6,25.3%,18.7%,41.8%,31.9%,0.73,31.9%,54.9%,13.2%,-0.5,0.0%,-4.7
845,Gerardo Parra\parrage01,34,WSN,107,.291,81,.318,.113,1.9%,28.0%,5.6%,86.9,29.0%,30.4%,33.3%,31.9%,0.51,17.4%,53.6%,29.0%,-1.3,-0.5%,-8.6
846,Tyler Payne\paynety01,28,CHC,2,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
847,Mark Payton\paytoma01,29,CIN,24,.208,3,.267,.000,0.0%,29.2%,8.3%,85.1,33.3%,26.7%,40.0%,33.3%,0.67,26.7%,60.0%,13.3%,-0.3,-0.2%,-3.2
848,Matt Peacock\peacoma01,27,ARI,17,.261,44,.333,.000,0.0%,23.5%,5.9%,79.5,25.0%,16.7%,66.7%,16.7%,2.00,25.0%,66.7%,8.3%,-0.2,0.0%,-1.8
849,Joc Pederson\pederjo01,29,TOT,481,.320,92,.281,.184,3.7%,24.3%,8.1%,90.4,47.8%,22.7%,39.1%,29.3%,0.66,24.0%,59.6%,16.4%,0.7,0.9%,6.7
850,Joc Pederson\pederjo01,29,CHC,287,.312,90,.274,.188,3.8%,25.8%,7.7%,90.7,46.2%,22.0%,36.0%,31.2%,0.57,22.6%,59.1%,18.3%,0.6,0.5%,1.0
851,Joc Pederson\pederjo01,29,ATL,194,.331,95,.290,.179,3.6%,22.2%,8.8%,89.9,50.0%,23.7%,43.5%,26.7%,0.79,26.0%,60.3%,13.7%,0.2,0.4%,5.8
852,David Peralta\peralda01,33,ARI,538,.319,95,.303,.144,1.5%,17.1%,8.6%,89.3,42.0%,23.2%,54.9%,15.6%,1.22,24.2%,55.7%,20.2%,0.6,0.4%,11.9
853,Freddy Peralta\peralfr01,25,MIL,45,.098,-70,.190,.000,0.0%,48.9%,2.2%,76.6,19.0%,22.7%,63.6%,0.0%,2.33,4.5%,63.6%,31.8%,-0.9,-0.6%,-9.3
854,Wily Peralta\peralwi01,32,DET,2,.346,120,.000,.000,0.0%,0.0%,50.0%,78.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.2
855,Jose Peraza\perazjo01,27,NYM,154,.288,75,.209,.176,3.9%,16.9%,5.8%,84.6,25.0%,16.4%,34.5%,37.1%,0.54,33.6%,48.3%,18.1%,0.4,0.5%,-1.9
856,Geraldo Perdomo\perdoge01,21,ARI,37,.331,104,.320,.161,0.0%,16.2%,16.2%,85.3,28.0%,16.0%,32.0%,44.0%,0.50,32.0%,56.0%,12.0%,-0.4,-0.2%,-1.8
857,Cionel Pérez\perezci01,25,CIN,2,.000,-144,.000,.000,0.0%,0.0%,0.0%,77.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-1.1
858,Hernan Perez\perezhe01,30,WSN,21,.109,-50,.111,.000,0.0%,47.6%,9.5%,86.3,33.3%,22.2%,55.6%,22.2%,1.25,22.2%,77.8%,0.0%,-0.2,-0.1%,-3.1
859,Martin Perez\perezma02,30,BOS,3,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.6
860,Michael Perez\perezmi03,28,PIT,231,.236,37,.170,.148,3.0%,29.4%,8.2%,85.0,33.1%,16.2%,45.1%,31.0%,0.84,36.2%,52.5%,11.3%,-1.8,-0.5%,-17.6
861,Roberto Perez\perezro02,32,CLE,161,.256,52,.179,.170,4.4%,34.8%,10.6%,87.9,41.4%,17.2%,49.4%,26.4%,1.08,24.1%,58.6%,17.2%,-1.2,-0.5%,-8.0
862,Salvador Perez\perezsa02,31,KCR,665,.365,128,.298,.271,7.2%,25.6%,4.2%,93.0,56.2%,23.6%,37.4%,33.0%,0.60,33.0%,52.4%,14.5%,3.2,0.5%,19.6
863,Dillon Peters\peterdi01,28,PIT,8,.116,-99,.000,.000,0.0%,50.0%,12.5%,37.2,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.1
864,DJ Peters\peterdj01,25,TOT,240,.271,63,.237,.224,5.4%,34.2%,5.0%,87.5,39.4%,19.4%,38.9%,29.9%,0.64,26.4%,54.9%,18.8%,-1.5,-0.3%,-12.5
865,DJ Peters\peterdj01,25,LAD,34,.303,78,.364,.192,2.9%,41.2%,23.5%,90.7,41.7%,25.0%,33.3%,25.0%,0.50,25.0%,66.7%,8.3%,-0.4,-0.3%,-2.1
866,DJ Peters\peterdj01,25,TEX,206,.266,61,.225,.228,5.8%,33.0%,1.9%,87.2,39.2%,18.9%,39.4%,30.3%,0.65,26.5%,53.8%,19.7%,-1.1,0.0%,-10.5
867,David Peterson\peterda01,25,NYM,20,.116,-71,.167,.063,0.0%,50.0%,0.0%,66.5,33.3%,11.1%,55.6%,0.0%,5.00,0.0%,66.7%,33.3%,-0.3,-0.3%,-3.1
868,Jace Peterson\peterja01,31,MIL,302,.328,93,.310,.120,2.0%,22.5%,12.6%,87.4,34.9%,23.8%,42.0%,28.5%,0.73,24.4%,57.0%,18.7%,0.4,0.8%,7.1
869,Tommy Pham\phamth01,33,SDP,561,.328,108,.280,.154,2.7%,22.8%,13.9%,90.8,47.7%,24.8%,49.6%,21.7%,0.98,21.7%,57.8%,20.5%,-0.2,0.2%,5.5
870,Brett Phillips\phillbr02,27,TBR,292,.320,103,.302,.221,4.5%,38.7%,11.3%,88.0,45.1%,20.8%,34.7%,38.2%,0.56,34.0%,53.5%,12.5%,0.0,-0.1%,7.0
871,Evan Phillips\phillev01,26,TOT,3,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.2,-0.2%,-0.9
872,Evan Phillips\phillev01,26,LAD,3,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.2,-0.2%,-0.9
873,Kevin Pillar\pillake01,32,NYM,347,.311,93,.261,.185,4.3%,23.3%,3.2%,85.8,31.8%,19.2%,35.9%,30.6%,0.56,32.7%,49.0%,18.4%,-0.1,-0.8%,2.0
874,Manny Pina\pinama01,34,MIL,208,.317,89,.162,.250,6.3%,18.3%,10.6%,86.5,32.4%,18.2%,38.5%,32.9%,0.63,37.1%,49.7%,13.3%,-0.6,-0.7%,1.4
875,Chad Pinder\pindech01,29,OAK,233,.310,97,.313,.168,2.6%,26.6%,6.9%,92.6,54.2%,26.1%,48.4%,22.2%,0.94,28.8%,58.2%,13.1%,-0.3,-0.5%,-0.8
876,Michael Pineda\pinedmi01,32,MIN,3,.000,-123,.000,.000,0.0%,33.3%,0.0%,82.3,50.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,-0.1,0.0%,-1.3
877,Stephen Piscotty\piscost01,30,OAK,188,.284,78,.275,.133,2.7%,25.5%,6.9%,86.1,36.8%,22.4%,38.4%,28.8%,0.62,22.6%,56.5%,21.0%,-1.0,-0.8%,-5.3
878,Nick Pivetta\pivetni01,28,BOS,2,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
879,Kevin Plawecki\plaweke01,30,BOS,173,.329,99,.328,.102,1.7%,15.0%,6.9%,86.9,34.8%,25.8%,39.4%,25.0%,0.66,25.0%,51.5%,23.5%,-0.6,-0.6%,-1.1
880,Gregory Polanco\polangr01,29,PIT,382,.285,65,.258,.146,2.9%,27.2%,9.4%,89.5,48.7%,25.0%,39.2%,22.9%,0.65,34.2%,52.9%,12.9%,-1.8,-0.6%,-18.0
881,Jorge Polanco\polanjo01,27,MIN,644,.352,126,.282,.235,5.1%,18.3%,7.0%,88.3,37.5%,27.1%,31.5%,32.8%,0.47,41.6%,45.6%,12.8%,3.8,0.5%,27.1
882,AJ Pollock\polloaj01,33,LAD,422,.383,135,.326,.240,5.0%,19.0%,7.1%,90.3,47.7%,26.8%,39.5%,27.8%,0.65,27.1%,56.2%,16.7%,0.1,0.2%,23.2
883,Daniel Ponce de Leon\ponceda01,29,STL,5,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,-0.1%,-1.0
884,Cody Ponce\ponceco01,27,PIT,7,.000,-170,.000,.000,0.0%,57.1%,0.0%,67.4,0.0%,0.0%,66.7%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.6
885,Zach Pop\popza01,24,MIA,2,.000,-366,,.000,0.0%,50.0%,0.0%,48.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.7
886,Sean Poppen\poppese01,27,TOT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
887,Sean Poppen\poppese01,27,TOT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
888,Sean Poppen\poppese01,27,PIT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
889,Buster Posey\poseybu01,34,SFG,454,.386,141,.349,.195,4.0%,19.2%,12.3%,88.5,39.4%,26.1%,46.5%,23.2%,0.87,24.8%,58.4%,16.8%,1.6,1.8%,20.6
890,Cody Poteet\poteeco01,26,MIA,11,.080,-94,.143,.000,0.0%,27.3%,0.0%,69.8,37.5%,12.5%,75.0%,0.0%,6.00,42.9%,57.1%,0.0%,-0.1,0.0%,-1.8
891,Yohel Pozo\pozoyo01,24,TEX,77,.301,87,.317,.095,1.3%,13.0%,3.9%,87.7,37.5%,34.4%,35.9%,15.6%,0.56,31.3%,54.7%,14.1%,0.1,0.0%,-1.3
892,David Price\priceda01,35,LAD,18,.240,28,.308,.067,0.0%,16.7%,0.0%,77.7,35.7%,20.0%,60.0%,6.7%,2.25,26.7%,60.0%,13.3%,0.0,0.0%,-0.7
893,Jurickson Profar\profaju01,28,SDP,412,.303,90,.266,.093,1.0%,15.8%,11.9%,84.9,30.2%,23.7%,43.0%,20.6%,0.76,31.3%,51.2%,17.5%,-0.8,-0.4%,-6.3
894,Albert Pujols\pujolal01,41,TOT,296,.305,82,.223,.196,5.7%,15.2%,4.7%,90.3,39.7%,19.4%,46.1%,26.7%,0.86,35.3%,46.6%,18.1%,-0.7,-0.6%,-5.6
895,Albert Pujols\pujolal01,41,LAA,92,.267,59,.176,.174,5.4%,14.1%,3.3%,90.5,41.1%,20.5%,38.4%,27.4%,0.62,31.5%,49.3%,19.2%,-0.2,-0.1%,-6.6
896,Albert Pujols\pujolal01,41,LAD,204,.322,93,.245,.206,5.9%,15.7%,5.4%,90.2,39.0%,18.9%,49.7%,26.4%,0.99,37.1%,45.3%,17.6%,-0.5,-0.5%,1.1
897,Cal Quantrill\quantca01,26,CLE,2,.398,154,.500,.000,0.0%,0.0%,0.0%,87.5,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.0
898,Roman Quinn\quinnro01,28,PHI,62,.266,62,.273,.115,0.0%,30.7%,9.7%,81.8,27.3%,24.2%,39.4%,15.2%,0.76,45.5%,48.5%,6.1%,-0.4,-0.3%,-2.0
899,Jose Quintana\quintjo01,32,TOT,2,.797,432,1.000,.000,0.0%,0.0%,50.0%,76.2,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.6
900,Jose Quintana\quintjo01,32,SFG,2,.797,432,1.000,.000,0.0%,0.0%,50.0%,76.2,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.6
901,Cal Raleigh\raleica01,24,SEA,148,.229,39,.267,.129,1.4%,35.1%,4.7%,88.0,35.2%,28.4%,36.4%,21.6%,0.57,40.9%,45.5%,13.6%,-1.4,-1.0%,-13.2
902,Luke Raley\raleylu01,26,LAD,72,.235,31,.256,.106,2.8%,34.7%,2.8%,89.2,39.0%,17.1%,53.7%,24.4%,1.22,31.7%,53.7%,14.6%,-1.1,-0.8%,-9.6
903,Harold Ramirez\ramirha02,26,CLE,361,.320,98,.301,.130,1.9%,15.5%,3.9%,91.3,47.2%,22.0%,53.1%,18.5%,1.13,22.0%,58.0%,19.9%,0.2,0.4%,1.5
904,Jose Ramirez\ramirjo01,28,CLE,636,.378,136,.256,.272,5.7%,13.7%,11.3%,89.9,42.9%,24.0%,36.0%,27.0%,0.56,41.6%,48.8%,9.6%,3.8,1.8%,40.3
905,Nick Ramirez\ramirni01,31,SDP,3,.000,-124,.000,.000,0.0%,33.3%,0.0%,88.8,50.0%,50.0%,50.0%,0.0%,1.00,50.0%,50.0%,0.0%,0.0,0.0%,-0.5
906,Yefry Ramirez\ramirye01,27,LAD,1,.000,-134,.000,.000,0.0%,0.0%,0.0%,83.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.8
907,Henry Ramos\ramoshe01,29,ARI,55,.245,42,.237,.100,1.8%,21.8%,7.3%,86.7,30.8%,20.5%,48.7%,20.5%,1.00,30.8%,48.7%,20.5%,0.1,0.0%,-1.8
908,Wilson Ramos\ramoswi01,33,TOT,163,.279,72,.213,.192,4.9%,22.1%,5.5%,89.6,44.0%,20.7%,54.3%,19.0%,1.19,25.9%,53.4%,20.7%,-0.7,-0.4%,-9.4
909,Wilson Ramos\ramoswi01,33,DET,128,.274,69,.212,.192,4.7%,22.7%,4.7%,90.0,45.1%,20.9%,52.7%,19.8%,1.12,26.4%,52.7%,20.9%,-0.7,-0.4%,-7.7
910,Wilson Ramos\ramoswi01,33,CLE,35,.297,83,.217,.194,5.7%,20.0%,8.6%,88.2,40.0%,20.0%,60.0%,16.0%,1.50,24.0%,56.0%,20.0%,-0.1,0.0%,-1.8
911,Drew Rasmussen\rasmudr01,25,TOT,4,.199,19,.333,.000,0.0%,25.0%,0.0%,71.5,33.3%,0.0%,66.7%,33.3%,2.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
912,Drew Rasmussen\rasmudr01,25,MIL,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
913,Drew Rasmussen\rasmudr01,25,TBR,3,.266,69,.333,.000,0.0%,0.0%,0.0%,71.5,33.3%,0.0%,66.7%,33.3%,2.00,0.0%,100.0%,0.0%,0.0,0.0%,0.0
914,Corey Ray\rayco01,26,MIL,3,.232,29,.000,.000,0.0%,33.3%,33.3%,86.5,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,-0.1%,-0.5
915,Robbie Ray\rayro02,29,TOR,5,.000,-187,.000,.000,0.0%,20.0%,0.0%,50.2,0.0%,0.0%,50.0%,0.0%,,25.0%,75.0%,0.0%,-0.1,-0.1%,-1.3
